127.0.0.1, 2015-04-19 21:16:55, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2015-04-19 21:16:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.027000
127.0.0.1, 2015-04-19 21:16:55, GET, /welcome/default/main.css, HTTP/1.1, 404, 0.012000
127.0.0.1, 2015-04-19 21:17:10, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-04-19 21:18:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.020000
127.0.0.1, 2015-04-19 21:18:34, GET, /welcome/default/main.css, HTTP/1.1, 404, 0.038000
127.0.0.1, 2015-04-19 21:18:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:19:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:19:57, GET, /welcome/static/images/20150413235626.jpg, HTTP/1.1, 200, 0.106000
127.0.0.1, 2015-04-19 21:19:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:20:35, GET, /welcome/default/index, HTTP/1.1, 200, 0.010000
127.0.0.1, 2015-04-19 21:20:35, GET, /welcome/default/main.css, HTTP/1.1, 404, 0.024000
127.0.0.1, 2015-04-19 21:20:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:21:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-04-19 21:21:15, GET, /welcome/static/css/bootstrap.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-04-19 21:21:15, GET, /welcome/static/images/20150413235626.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-04-19 21:21:15, GET, /welcome/default/main.css, HTTP/1.1, 404, 0.012000
127.0.0.1, 2015-04-19 21:21:15, GET, /welcome/static/images/20150413235445.jpg, HTTP/1.1, 200, 0.057000
127.0.0.1, 2015-04-19 21:21:15, GET, /welcome/static/images/20150413235455.jpg, HTTP/1.1, 200, 0.064000
127.0.0.1, 2015-04-19 21:21:15, GET, /welcome/static/images/20150413235510.jpg, HTTP/1.1, 200, 0.066000
127.0.0.1, 2015-04-19 21:21:15, GET, /welcome/static/images/20150413235434.jpg, HTTP/1.1, 200, 0.072000
127.0.0.1, 2015-04-19 21:21:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-04-19 21:22:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.009000
